,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K00941,0.765455087307519,26,25,Case,0.3,6.9529,-5.7365,0.068178734232526,-0.06293421621464,0.8745,0.4982,1.5351,0.8745 (0.4982;1.5351),0.962384248471646
K00942,0.0123791676830221,20,30,Control,-2.48,-0.4437,1.7301,-0.372842823378958,0.34416260619596,2.6101,1.1848,5.7502,2.6101 (1.1848;5.7502),0.241203117614782
K00943,0.039738255822051,21,30,Control,-2.05,-0.4791,1.9194,-0.36149537683742,0.333688040157619,2.2024,1.1422,4.2466,2.2024 (1.1422;4.2466),0.282694933822692
K00945,0.154740451620766,22,28,Control,-1.43,-1.116,2.5714,-0.221207136425175,0.204191202854007,1.5807,0.8629,2.8957,1.5807 (0.8629;2.8957),0.499793872476267
K00946,0.149134967528481,29,23,Case,1.45,2.405,-1.9148,0.194350364337934,-0.17940033631194,0.6742,0.3743,1.2145,0.6742 (0.3743;1.2145),0.499793872476267
K00948,0.0503995102205857,21,29,Control,-1.95,-0.9283,2.0928,-0.211151508531438,0.194909084798251,1.6934,0.7856,3.6501,1.6934 (0.7856;3.6501),0.309557647475073
K00950,0.0183403867151168,31,21,Case,2.34,2.0394,-0.9992,0.259711697042646,-0.239733874193212,0.5735,0.3043,1.081,0.5735 (0.3043;1.081),0.242798568658306
K00954,0.543993635325268,24,27,Control,-0.61,-14.3429,11.0034,-0.0284775120820289,0.0262869342295657,1.0576,0.6028,1.8557,1.0576 (0.6028;1.8557),0.859984312384812
K00955,0.0533205784928747,21,29,Control,-1.93,-0.4765,2.1703,-0.268459314813135,0.247808598289047,1.9786,0.8884,4.4065,1.9786 (0.8884;4.4065),0.320493744524017
K00956,0.650939583685405,26,25,Case,0.46,7.669,-6.6934,0.0600916550865345,-0.0554692200798778,0.8884,0.506,1.56,0.8884 (0.506;1.56),0.922643243458254
K00957,0.369764612824605,27,24,Case,0.9,2.5523,-1.6508,0.180988152749218,-0.167065987153124,0.6925,0.3837,1.2496,0.6925 (0.3837;1.2496),0.725332329519819
K00958,0.489450424112088,24,27,Control,-0.69,-0.8328,2.7209,-0.168595503125704,0.155626618269881,1.509,0.7051,3.2292,1.509 (0.7051;3.2292),0.818875142087166
K00963,0.242424509473753,23,28,Control,-1.17,-6.9006,7.3731,-0.0476769460802797,0.0440094886894888,1.0999,0.6199,1.9514,1.0999 (0.6199;1.9514),0.591074075159433
K00965,0.0722585988762938,22,29,Control,-1.8,-2.1297,3.0437,-0.155921871256976,0.143927881160286,1.3733,0.7616,2.4763,1.3733 (0.7616;2.4763),0.36258332650426
K00966,0.250362799164942,28,23,Case,1.16,5.4229,-4.6423,0.0773412081398421,-0.0713918844367774,0.858,0.4861,1.5142,0.858 (0.4861;1.5142),0.602586266084357
K00968,0.154740451620766,22,28,Control,-1.43,-1.7503,2.9701,-0.147161780428443,0.135841643472409,1.3772,0.7217,2.6282,1.3772 (0.7217;2.6282),0.499793872476267
K00969,0.160501491044013,22,28,Control,-1.41,-0.8404,2.758,-0.223923976675207,0.2066990553925,1.5846,0.8686,2.8908,1.5846 (0.8686;2.8908),0.506751898689524
K00971,0.0227450588424616,30,21,Case,2.26,1.9275,-0.7105,0.292422206661149,-0.269928190764138,0.5221,0.2658,1.0258,0.5221 (0.2658;1.0258),0.242798568658306
K00972,0.178737668236209,23,28,Control,-1.35,-0.9851,2.5222,-0.233661942988326,0.21568794737384,1.65,0.8763,3.1066,1.65 (0.8763;3.1066),0.516455370430589
K00979,0.623413544612998,27,24,Case,0.5,4.8768,-4.8038,0.0848134741914216,-0.0782893607920817,0.8459,0.4807,1.4886,0.8459 (0.4807;1.4886),0.897204640390537
K00981,0.506228271280028,27,24,Case,0.67,3.9759,-1.6494,0.135840412526017,-0.125391150024015,0.7602,0.4231,1.3657,0.7602 (0.4231;1.3657),0.825835380143326
K00991,0.481825693345,27,24,Case,0.71,3.1559,-1.4186,0.176865611766578,-0.16326056470761,0.6986,0.387,1.2613,0.6986 (0.387;1.2613),0.809524782241824
K00998,0.0215670455933707,30,21,Case,2.28,1.6918,-0.5551,0.368584631855594,-0.340231967866702,0.438,0.2207,0.8691,0.438 (0.2207;0.8691),0.242798568658306
K01006,0.205344088515694,23,28,Control,-1.27,-1.5343,2.4492,-0.210207340181093,0.194037544782547,1.5438,0.8433,2.8262,1.5438 (0.8433;2.8262),0.546935439553649
K01007,0.123366622011282,29,22,Case,1.54,2.1128,-1.2979,0.224807356461177,-0.207514482887241,0.6292,0.3439,1.1512,0.6292 (0.3439;1.1512),0.457637238088056
K01012,0.0480973723680217,21,29,Control,-1.97,-0.8356,2.0188,-0.276201137716693,0.254954896353871,1.8278,0.9538,3.5027,1.8278 (0.9538;3.5027),0.303187634616318
K01046,0.105327374677274,22,29,Control,-1.62,-2.2796,2.9919,-0.142324879087038,0.131376811464958,1.3398,0.7369,2.4358,1.3398 (0.7369;2.4358),0.432072880062978
K01051,0.412541130682006,27,24,Case,0.83,3.7223,-3.1956,0.121372295078056,-0.112035964687437,0.7857,0.4438,1.391,0.7857 (0.4438;1.391),0.750317525706432
K01053,0.320266731075524,23,28,Control,-1,-3.7373,4.4344,-0.104922660781123,0.0968516868748825,1.2324,0.6957,2.1832,1.2324 (0.6957;2.1832),0.676653770167085
K01054,0.992323823710657,25,26,Control,-0.01,1.9878,-0.0496,0.166556106563338,-0.153744098366158,0.2891,0.0078,10.7427,0.2891 (0.0078;10.7427),1
K01057,0.839868412093286,25,26,Control,-0.2,-20.8186,17.9656,-0.0233799138248603,0.0215814589152559,1.047,0.5976,1.8343,1.047 (0.5976;1.8343),0.989676920858447
K01077,0.301718405696185,28,23,Case,1.04,3.24,-2.1324,0.152685837340839,-0.140940772930006,0.7362,0.4123,1.3146,0.7362 (0.4123;1.3146),0.654693992282842
K01079,0.19844192302749,28,23,Case,1.29,2.3977,-1.3257,0.227419772042418,-0.20992594342377,0.6254,0.3415,1.1455,0.6254 (0.3415;1.1455),0.542697619179802
K01089,0.191707850908558,28,23,Case,1.31,2.2879,-1.5714,0.214465769714282,-0.197968402813183,0.6475,0.3594,1.1664,0.6475 (0.3594;1.1664),0.537355671873365
K01092,0.623413544612998,24,26,Control,-0.5,-4.868,4.5455,-0.0921332353176063,0.0850460633700979,1.1991,0.6819,2.1084,1.1991 (0.6819;2.1084),0.897204640390537
