,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K01677,0.0480973723680217,21,29,Control,-1.97,-0.4832,1.9263,-0.328509841265876,0.303239853476194,2.1731,1.0573,4.4662,2.1731 (1.0573;4.4662),0.303187634616318
K01678,0.0503995102205857,21,29,Control,-1.95,-0.4901,1.9509,-0.328956301992703,0.303651971070187,2.1241,1.059,4.2601,2.1241 (1.059;4.2601),0.309557647475073
K01679,0.101155518200909,22,29,Control,-1.64,-3.1542,3.4954,-0.112943007290143,0.104255083652439,1.2607,0.6949,2.2874,1.2607 (0.6949;2.2874),0.422672128095991
K01681,0.946305810934461,26,25,Case,0.07,-17.2956,18.8406,-0.0217183735952603,0.0200477294725483,1.0436,0.5952,1.8299,1.0436 (0.5952;1.8299),0.992208704748446
K01682,0.719408929524073,25,26,Control,-0.36,1.8811,-0.0064,0.189252764036839,-0.174694859110928,0.1221,0.0039,3.793,0.1221 (0.0039;3.793),0.942229451210324
K01685,0.623413544612998,27,24,Case,0.5,6.8502,-8.1441,0.0476977902655115,-0.0440287294758571,0.9105,0.5185,1.5988,0.9105 (0.5185;1.5988),0.897204640390537
K01686,0.493947817024109,27,24,Case,0.69,3.7382,-2.0369,0.157949724184248,-0.145799745400844,0.7306,0.4125,1.2941,0.7306 (0.4125;1.2941),0.818875142087166
K01687,0.38019646578622,24,27,Control,-0.88,-1.4145,2.9846,-0.168923232867512,0.155929138031551,1.4236,0.7714,2.6273,1.4236 (0.7714;2.6273),0.733003134723347
K01689,0.154740451620766,22,28,Control,-1.43,-0.7671,2.2134,-0.241027722465093,0.222487128429317,1.7217,0.8753,3.3869,1.7217 (0.8753;3.3869),0.499793872476267
K01690,0.634170669010814,24,26,Control,-0.48,1.8993,-0.0259,0.183961036611113,-0.169810187641027,0.134,0.004,4.4573,0.134 (0.004;4.4573),0.909933147432746
K01692,0.839868412093286,26,25,Case,0.2,4.1569,-3.0993,0.0853117008809389,-0.078749262351636,0.8398,0.4608,1.5308,0.8398 (0.4608;1.5308),0.989676920858447
K01693,0.0097940219624509,20,31,Control,-2.55,-0.4616,1.728,-0.383709559598656,0.354193439629529,2.4188,1.1959,4.8922,2.4188 (1.1959;4.8922),0.241203117614782
K01695,0.900463086624313,25,26,Control,-0.13,20.5851,-18.3213,0.020630274705234,-0.0190433304971386,0.9603,0.5482,1.6823,0.9603 (0.5482;1.6823),0.989676920858447
K01696,0.885246878046434,26,25,Case,0.15,9.8253,-8.0289,0.0436823570821587,-0.0403221757681467,0.9178,0.5233,1.6097,0.9178 (0.5233;1.6097),0.989676920858447
K01697,0.00165631451797063,19,32,Control,-3.08,-0.0678,1.5717,-0.367573332684111,0.339298460939179,13.379,1.6063,111.4329,13.379 (1.6063;111.4329),0.143207501399922
K01698,0.191707850908558,23,28,Control,-1.31,-22.6234,17.9647,-0.0174569181427655,0.0161140782856297,1.0349,0.5899,1.8156,1.0349 (0.5899;1.8156),0.537355671873365
K01703,0.0894115491761765,22,29,Control,-1.7,-0.9806,2.185,-0.237056366876633,0.218821261732277,1.6772,0.8769,3.2079,1.6772 (0.8769;3.2079),0.394112083427539
K01704,0.518664530595882,24,27,Control,-0.65,-2.4112,3.8825,-0.124550944193755,0.114970102332697,1.2838,0.72,2.2893,1.2838 (0.72;2.2893),0.838818607755067
K01712,0.946305810934461,25,26,Control,-0.07,-31.9362,29.8424,-0.0151543368232278,0.0139886186060563,1.0302,0.5881,1.8046,1.0302 (0.5881;1.8046),0.992208704748446
K01713,0.664882949086388,26,25,Case,0.44,-37.1228,49.9809,-0.00867412850934969,0.00800688785478435,1.0172,0.5806,1.7822,1.0172 (0.5806;1.7822),0.929512978573508
K01714,0.0103916236967218,20,31,Control,-2.53,-0.6223,1.6588,-0.373549122464727,0.344814574582824,2.2824,1.1715,4.447,2.2824 (1.1715;4.447),0.241203117614782
K01715,0.0458825852566574,21,29,Control,-1.99,-0.7435,2.1422,-0.289063165758378,0.266827537623118,1.8819,0.979,3.6174,1.8819 (0.979;3.6174),0.303187634616318
K01719,0.0503995102205857,30,22,Case,1.95,2.2561,-1.3125,0.225179444111669,-0.207857948410771,0.6274,0.3421,1.1506,0.6274 (0.3421;1.1506),0.309557647475073
K01733,0.0527914437010138,21,29,Control,-1.93,-0.7692,2.0548,-0.284978496078052,0.263057073302817,1.8502,0.9707,3.5265,1.8502 (0.9707;3.5265),0.319019261935159
K01735,0.172498193748909,23,28,Control,-1.37,-1.4294,2.7574,-0.191468142645295,0.176739823980271,1.477,0.8158,2.6739,1.477 (0.8158;2.6739),0.515659494079185
K01736,0.310902987491349,23,28,Control,-1.02,-1.8418,3.4998,-0.158349173510145,0.146168467855519,1.3724,0.7711,2.4426,1.3724 (0.7711;2.4426),0.66436303790927
K01738,0.38019646578622,24,27,Control,-0.88,-3.6026,4.4843,-0.0964128342794042,0.088996462411757,1.2112,0.6841,2.1447,1.2112 (0.6841;2.1447),0.733003134723347
K01739,0.583084454923716,24,27,Control,-0.55,7.6054,-4.5773,0.0464065114439621,-0.0428367797944265,0.9123,0.5164,1.6116,0.9123 (0.5164;1.6116),0.885658009911158
K01745,0.930998043449749,25,26,Control,-0.09,70.3791,-57.5216,0.00722853472737234,-0.00667249359449747,0.9859,0.5629,1.7268,0.9859 (0.5629;1.7268),0.992208704748446
K01749,0.0822000465930611,22,29,Control,-1.74,332.8988,-218.1299,0.0011723688663316,-0.00108218664584468,0.9977,0.5697,1.7473,0.9977 (0.5697;1.7473),0.380217499467493
K01755,0.854944173276674,25,26,Control,-0.18,-5.9375,10.4885,-0.0489410448849785,0.0451763491245944,1.1012,0.6271,1.9337,1.1012 (0.6271;1.9337),0.989676920858447
K01756,0.976974262337502,25,26,Control,-0.03,-21.6967,27.2815,-0.016778146164839,0.0154875195367747,1.0335,0.5899,1.8106,1.0335 (0.5899;1.8106),0.99647828572355
K01758,0.0193665498422524,20,30,Control,-2.32,-0.383,1.8253,-0.393583924937267,0.363308238403631,2.4186,1.224,4.7793,2.4186 (1.224;4.7793),0.242798568658306
K01760,0.301718405696185,23,28,Control,-1.04,3.5854,-0.8668,0.102423435374188,-0.0945447095761737,0.7977,0.4048,1.572,0.7977 (0.4048;1.572),0.654693992282842
K01770,0.123366622011282,29,22,Case,1.54,3.5121,-1.9082,0.132687305070178,-0.122480589295549,0.7614,0.4188,1.3844,0.7614 (0.4188;1.3844),0.457637238088056
K01772,0.664882949086388,25,26,Control,-0.44,2.2147,-0.183,0.167627605212768,-0.154733174042555,0.5221,0.1039,2.6241,0.5221 (0.1039;2.6241),0.929512978573508
K01778,0.219658488084314,28,23,Case,1.23,4.7027,-3.2481,0.105684528692108,-0.0975549495619466,0.8107,0.4585,1.4336,0.8107 (0.4585;1.4336),0.563689818736915
K01782,0.930308833515082,25,26,Control,-0.09,1.8992,-0.0044,0.189722614756462,-0.175128567467503,0.119,0.0041,3.4719,0.119 (0.0041;3.4719),0.992208704748446
K01783,0.320266731075524,23,28,Control,-1,-2.3223,3.0471,-0.152591410171958,0.140853609389499,1.3576,0.7617,2.4197,1.3576 (0.7617;2.4197),0.676653770167085
K01784,0.915715300438421,25,26,Control,-0.11,-18.2092,14.5245,-0.0229302231709267,0.0211663598500865,1.0461,0.5969,1.8332,1.0461 (0.5969;1.8332),0.989676920858447
K01791,0.930998043449749,26,25,Case,0.09,5.4139,-3.8091,0.081569775971742,-0.0752951778200699,0.8512,0.483,1.5002,0.8512 (0.483;1.5002),0.992208704748446
K01796,0.506228271280028,24,27,Control,-0.67,27.701,-19.2823,0.0161506253160565,-0.0149082695225135,0.9688,0.5532,1.6967,0.9688 (0.5532;1.6967),0.825835380143326
K01800,0.862090430708913,26,25,Case,0.17,-6.7978,9.8324,-0.0342485952566225,0.03161408792919,1.0705,0.6053,1.893,1.0705 (0.6053;1.893),0.989676920858447
K01803,0.609838760470472,24,27,Control,-0.51,-3.5642,5.039,-0.0970999361759188,0.0896307103162328,1.2116,0.6874,2.1356,1.2116 (0.6874;2.1356),0.894854786904452
K01807,0.707384603182297,25,26,Control,-0.38,16.5725,-13.352,0.0271289823505343,-0.0250421375543395,0.9482,0.5412,1.661,0.9482 (0.5412;1.661),0.942229451210324
K01808,0.123366622011282,22,29,Control,-1.54,-1.3605,2.4117,-0.230489452885837,0.212759494971542,1.6029,0.8827,2.9108,1.6029 (0.8827;2.9108),0.457637238088056
K01809,0.795006753287673,25,26,Control,-0.26,-4.7759,6.6613,-0.0702159323554978,0.0648147067896892,1.1493,0.6513,2.0281,1.1493 (0.6513;2.0281),0.972347759189711
K01810,0.329809533579703,23,27,Control,-0.98,-3.5035,4.4796,-0.097707908333964,0.0901919153851983,1.2165,0.6827,2.1679,1.2165 (0.6827;2.1679),0.678948563632942
K01812,0.434965980721867,27,24,Case,0.79,2.9195,-2.3208,0.166723549631803,-0.153898661198588,0.7161,0.4017,1.2764,0.7161 (0.4017;1.2764),0.77603454338314
K01814,0.930998043449749,25,26,Control,-0.09,386.1408,-243.0459,0.00130387594186923,-0.00120357779249417,0.9974,0.5695,1.747,0.9974 (0.5695;1.747),0.992208704748446
K01817,0.664882949086388,25,26,Control,-0.44,-2.7576,3.0943,-0.148812756044489,0.137365620964144,1.3445,0.7581,2.3845,1.3445 (0.7581;2.3845),0.929512978573508
K01822,0.839868412093286,26,25,Case,0.2,5.3997,-2.9817,0.0967603603709505,-0.0893172557270314,0.8262,0.4692,1.455,0.8262 (0.4692;1.455),0.989676920858447
K01823,0.623413544612998,27,24,Case,0.5,2.4578,-0.5976,0.142816763423602,-0.131830858544863,0.6927,0.2932,1.6368,0.6927 (0.2932;1.6368),0.897204640390537
K01824,0.806126741841178,25,26,Control,-0.25,-10.2522,11.9972,-0.0300685726682937,0.0277556055399634,1.0612,0.6028,1.8684,1.0612 (0.6028;1.8684),0.984876584597265
K01825,0.823276388057884,25,26,Control,-0.22,1.8549,-0.0106,0.192879789209806,-0.178042882347513,0.0955,0.0028,3.2762,0.0955 (0.0028;3.2762),0.989676920858447
K01834,0.301718405696185,23,28,Control,-1.04,-2.1811,3.223,-0.148143366042426,0.1367477225007,1.348,0.7521,2.4161,1.348 (0.7521;2.4161),0.654693992282842
K01840,0.583084454923716,27,24,Case,0.55,86.7267,-62.5779,0.00488538669367896,-0.00450958771724179,0.9905,0.5654,1.735,0.9905 (0.5654;1.735),0.885658009911158
K01845,0.101155518200909,22,29,Control,-1.64,-1.9239,2.9592,-0.163649005041054,0.151060620037896,1.4034,0.7674,2.5667,1.4034 (0.7674;2.5667),0.422672128095991
K01847,0.839868412093286,26,25,Case,0.2,-111.3892,84.6097,-0.00448077704480433,0.00413610188751186,1.0088,0.576,1.7669,1.0088 (0.576;1.7669),0.989676920858447
K01848,0.16642009212642,22,28,Control,-1.39,-0.3932,2.1278,-0.29354360786733,0.270963330339074,2.0027,0.9678,4.1442,2.0027 (0.9678;4.1442),0.512482694657797
K01849,0.101155518200909,22,29,Control,-1.64,-0.5564,2.0517,-0.28033821594564,0.258773737795976,1.9099,0.9428,3.8691,1.9099 (0.9428;3.8691),0.422672128095991
K01866,0.721761172145987,26,25,Case,0.36,12.0809,-11.2118,0.0356472846073566,-0.032905185791407,0.9323,0.5317,1.6348,0.9323 (0.5317;1.6348),0.942229451210324
K01867,0.0822000465930611,22,29,Control,-1.74,-0.7735,2.0878,-0.286986623393955,0.264910729286726,1.8346,0.9813,3.4298,1.8346 (0.9813;3.4298),0.380217499467493
K01868,0.242424509473753,23,28,Control,-1.17,-1.0639,2.4568,-0.246004791529278,0.227081346027025,1.6604,0.909,3.0329,1.6604 (0.909;3.0329),0.591074075159433
K01869,1,26,26,Control,0,-8.3185,12.2798,-0.0413269968039759,0.0381479970498248,1.0846,0.6186,1.9016,1.0846 (0.6186;1.9016),1
K01870,0.446432410141506,24,27,Control,-0.77,-2.4692,3.3087,-0.146648274365086,0.135367637875464,1.3407,0.7538,2.3846,1.3407 (0.7538;2.3846),0.779177063663125
K01872,0.390803907241872,24,27,Control,-0.86,-3.8025,3.4212,-0.117586516827697,0.108541400148644,1.2628,0.7142,2.2327,1.2628 (0.7142;2.2327),0.734554501237231
K01873,0.154740451620766,22,28,Control,-1.43,-1.4372,2.6338,-0.208808345671805,0.192746165235513,1.5303,0.8466,2.7663,1.5303 (0.8466;2.7663),0.499793872476267
K01874,0.870072108910591,26,25,Case,0.17,-10.0509,11.5033,-0.0351107597805572,0.0324099321051306,1.0715,0.6109,1.8794,1.0715 (0.6109;1.8794),0.989676920858447
K01875,0.028020407833775,21,30,Control,-2.18,-0.8714,2.2017,-0.270139983325542,0.249359984608191,1.7695,0.946,3.3099,1.7695 (0.946;3.3099),0.256056409798074
K01876,0.0342945685528998,21,30,Control,-2.11,-0.522,1.7367,-0.351217404542915,0.324200681116537,2.2858,1.1094,4.7098,2.2858 (1.1094;4.7098),0.275336393238996
K01878,0.750801123888555,26,25,Case,0.32,2.6745,-0.8148,0.171565341207118,-0.158368007268109,0.6648,0.315,1.4031,0.6648 (0.315;1.4031),0.955719663930618
K01879,0.750801123888555,26,25,Case,0.32,2.8189,-0.9723,0.165338882405526,-0.15262050683587,0.6905,0.3481,1.3695,0.6905 (0.3481;1.3695),0.955719663930618
K01880,0.481825693345,24,27,Control,-0.71,-4.8863,4.307,-0.0823767700001472,0.0760400953847505,1.1772,0.6668,2.0783,1.1772 (0.6668;2.0783),0.809524782241824
K01881,0.028020407833775,21,30,Control,-2.18,-0.6873,1.9912,-0.326616556862274,0.301492206334407,1.994,1.0664,3.7283,1.994 (1.0664;3.7283),0.256056409798074
K01883,0.458065825779274,27,24,Case,0.75,5.5683,-4.7615,0.0735773091704828,-0.0679175161573691,0.8649,0.4912,1.5227,0.8649 (0.4912;1.5227),0.790884774463754
K01884,0.321892759533014,23,27,Control,-0.99,-0.2312,2.1277,-0.238307662934018,0.219976304246786,2.2496,0.6817,7.4237,2.2496 (0.6817;7.4237),0.677542063136906
K01885,0.518664530595882,24,27,Control,-0.65,-4.8631,7.6703,-0.0651243208425203,0.0601147577007881,1.1367,0.6475,1.9954,1.1367 (0.6475;1.9954),0.838818607755067
K01886,0.609838760470472,24,27,Control,-0.51,-4.5707,5.2839,-0.0869879910555647,0.0802966071282138,1.187,0.6749,2.0877,1.187 (0.6749;2.0877),0.894854786904452
K01887,0.885246878046434,25,26,Control,-0.15,-18.5114,20.6597,-0.0205201810274273,0.0189417055637797,1.0411,0.5941,1.8246,1.0411 (0.5941;1.8246),0.989676920858447
K01889,0.446432410141506,24,27,Control,-0.77,-3.2236,3.8663,-0.121556703845726,0.112206188165286,1.2725,0.7202,2.2482,1.2725 (0.7202;2.2482),0.779177063663125
K01890,0.114071773942067,22,29,Control,-1.58,-1.2802,2.28,-0.243947368771813,0.225182186558597,1.6452,0.9075,2.9824,1.6452 (0.9075;2.9824),0.445196784412789
K01892,0.292712954819136,23,28,Control,-1.06,-2.131,3.3505,-0.1603840766032,0.148046839941415,1.3768,0.7753,2.4449,1.3768 (0.7753;2.4449),0.650216128886776
K01893,0.69310975436134,26,25,Case,0.4,5.2144,-4.1512,0.0847067483308037,-0.0781908446130507,0.8461,0.4805,1.4898,0.8461 (0.4805;1.4898),0.942025833013478
K01897,0.412541130682006,27,24,Case,0.83,8.7092,-6.3057,0.0458379736226311,-0.0423119756516601,0.9129,0.5159,1.6152,0.9129 (0.5159;1.6152),0.750317525706432
K01902,0.623413544612998,24,26,Control,-0.5,-11.3456,11.9402,-0.0290752250748946,0.0268386692999027,1.0591,0.6022,1.8627,1.0591 (0.6022;1.8627),0.897204640390537
K01903,0.446432410141506,24,27,Control,-0.77,-4.2956,5.4366,-0.0721205591636544,0.0665728238433733,1.1554,0.6495,2.0553,1.1554 (0.6495;2.0553),0.779177063663125
K01904,0.929752211277107,25,26,Control,-0.09,-0.9352,3.089,-0.16680893365073,0.153977477216058,1.4362,0.7522,2.7424,1.4362 (0.7522;2.7424),0.992208704748446
K01911,0.16642009212642,28,23,Case,1.39,2.6408,-2.1284,0.182694331240436,-0.168640921145018,0.6932,0.3881,1.2381,0.6932 (0.3881;1.2381),0.512482694657797
K01916,0.434965980721867,24,27,Control,-0.79,-1.5228,3.2537,-0.111634948884065,0.103047645123752,1.2778,0.6625,2.4647,1.2778 (0.6625;2.4647),0.77603454338314
K01918,0.205344088515694,28,23,Case,1.27,2.8924,-1.9693,0.181579515792545,-0.16761186073158,0.6952,0.3897,1.2401,0.6952 (0.3897;1.2401),0.546935439553649
K01919,0.707384603182297,26,25,Case,0.38,2.2101,-0.4809,0.197292689833009,-0.182116329076623,0.5987,0.2523,1.4208,0.5987 (0.2523;1.4208),0.942229451210324
K01920,0.992252560486415,26,25,Case,0.01,1.9078,-0.0637,0.178590395934147,-0.164852673169982,0.1837,0.0068,4.9922,0.1837 (0.0068;4.9922),1
K01922,0.00694053694066002,20,31,Control,-2.7,-0.1748,1.9106,-0.315329628460188,0.29107350319402,3.3023,0.882,12.3643,3.3023 (0.882;12.3643),0.239162502097615
K01923,0.434965980721867,24,27,Control,-0.79,-122.4492,95.2059,-0.00325896262751764,0.00300827319463128,1.0064,0.5746,1.7629,1.0064 (0.5746;1.7629),0.77603454338314
K01933,0.870072108910591,26,25,Case,0.17,7.5735,-5.1062,0.0658138729252276,-0.0607512673155949,0.8785,0.5002,1.5428,0.8785 (0.5002;1.5428),0.989676920858447
K01935,0.854944173276674,25,26,Control,-0.18,-8.2435,7.7875,-0.0535081446343419,0.0493921335086233,1.1109,0.6335,1.9481,1.1109 (0.6335;1.9481),0.989676920858447
K01937,0.149134967528481,22,28,Control,-1.45,-0.8935,2.3028,-0.247624909520735,0.228576839557603,1.6804,0.9057,3.1177,1.6804 (0.9057;3.1177),0.499793872476267
K01938,0.0605307709448935,21,29,Control,-1.87,-1.3785,2.028,-0.223475757662161,0.206285314765072,1.6187,0.8528,3.0727,1.6187 (0.8528;3.0727),0.333512679127747
K01939,0.301718405696185,23,28,Control,-1.04,-0.9559,2.8198,-0.194249172051743,0.179306928047763,1.555,0.7873,3.0714,1.555 (0.7873;3.0714),0.654693992282842
K01940,0.242424509473753,28,23,Case,1.17,3.4653,-2.3915,0.129483902361335,-0.119523602179694,0.7722,0.4342,1.3734,0.7722 (0.4342;1.3734),0.591074075159433
K01945,0.609838760470472,27,24,Case,0.51,7993.4888,-7717.9703,4.92827184032758e-05,-4.54917400635474e-05,0.9999,0.5709,1.7513,0.9999 (0.5709;1.7513),0.894854786904452
K01950,0.114071773942067,22,29,Control,-1.58,-1.157,1.8547,-0.241442446701501,0.222869950801385,1.7023,0.8769,3.3045,1.7023 (0.8769;3.3045),0.445196784412789
K01951,0.118649191868006,22,29,Control,-1.56,-2.3214,3.0455,-0.155954915841617,0.1439583838538,1.3706,0.7639,2.4593,1.3706 (0.7639;2.4593),0.45361119612122
K01952,0.531253922476574,24,27,Control,-0.63,-3.498,4.4341,-0.106859806146429,0.0986398210582428,1.2353,0.7005,2.1786,1.2353 (0.7005;2.1786),0.85061169353799
K01955,0.976974262337502,26,25,Case,0.03,-10.9543,11.0783,-0.0354552167035573,0.032727892341745,1.0723,0.6108,1.8825,1.0723 (0.6108;1.8825),0.99647828572355
K01956,0.123366622011282,22,29,Control,-1.54,-2.2884,2.9833,-0.151695047127075,0.14002619734807,1.366,0.7511,2.4843,1.366 (0.7511;2.4843),0.457637238088056
K01958,0.0227450588424616,21,30,Control,-2.26,-0.3607,1.7548,-0.364219223626766,0.336202360270861,2.5075,1.1549,5.4444,2.5075 (1.1549;5.4444),0.242798568658306
K01960,0.434965980721867,27,24,Case,0.79,5.3278,-4.0577,0.0906605695004598,-0.0836866795388861,0.8358,0.474,1.4737,0.8358 (0.474;1.4737),0.77603454338314
K01961,0.839868412093286,25,26,Control,-0.2,-8.205,7.449,-0.0549435746228671,0.0507171458057232,1.114,0.6352,1.9537,1.114 (0.6352;1.9537),0.989676920858447
K01962,0.310902987491349,23,28,Control,-1.02,-1.7154,3.232,-0.168990286941693,0.155991034100024,1.4071,0.7844,2.5238,1.4071 (0.7844;2.5238),0.66436303790927
K01963,0.369764612824605,24,27,Control,-0.9,-4.0889,5.6771,-0.079897899978424,0.0737519076723913,1.1725,0.662,2.0766,1.1725 (0.662;2.0766),0.725332329519819
K01965,0.976974262337502,25,26,Control,-0.03,4.6601,-3.0237,0.109309395047971,-0.10090098004428,0.8056,0.4564,1.4222,0.8056 (0.4564;1.4222),0.99647828572355
K01966,0.961633067902556,25,26,Control,-0.05,-4.7904,5.341,-0.0783530873603752,0.0723259267941933,1.1676,0.6617,2.0602,1.1676 (0.6617;2.0602),0.996198680481542
K01968,0.339531161971321,28,24,Case,0.96,3.3488,-1.6818,0.173509769874019,-0.160162864499095,0.7066,0.3965,1.2594,0.7066 (0.3965;1.2594),0.691364177637255
K01989,0.020441496121948,21,30,Control,-2.3,-0.5294,1.9784,-0.328862803506938,0.303565664775635,2.0933,1.0636,4.12,2.0933 (1.0636;4.12),0.242798568658306
K01990,0.0193665498422524,20,30,Control,-2.32,-0.5721,1.6143,-0.358978851318606,0.331365093524866,2.2903,1.1299,4.6427,2.2903 (1.1299;4.6427),0.242798568658306
K01992,0.143682973365797,22,28,Control,-1.47,-1.4848,2.613,-0.215154739847309,0.19860437524367,1.5448,0.859,2.7781,1.5448 (0.859;2.7781),0.492377018485231
K01995,0.0227450588424616,21,30,Control,-2.26,-0.4832,1.8669,-0.375756320343563,0.346851988009443,2.2832,1.1791,4.4211,2.2832 (1.1791;4.4211),0.242798568658306
K01996,0.0155370319288588,20,30,Control,-2.4,-0.4808,1.8291,-0.38796248472965,0.358119216673523,2.3456,1.2095,4.5487,2.3456 (1.2095;4.5487),0.242550331778296
K01997,0.028020407833775,21,30,Control,-2.18,-0.4746,1.9267,-0.366384554599448,0.338201127322567,2.2224,1.1553,4.2751,2.2224 (1.1553;4.2751),0.256056409798074
K01998,0.0116828175833606,20,30,Control,-2.5,-0.4096,1.8432,-0.389101180525088,0.359170320484696,2.3717,1.2104,4.6471,2.3717 (1.2104;4.6471),0.241203117614782
K01999,0.154740451620766,22,28,Control,-1.43,-1.2744,2.6369,-0.233332431704132,0.215383783111507,1.6069,0.8906,2.8993,1.6069 (0.8906;2.8993),0.499793872476267
K02000,1,26,26,Control,0,7.4869,-5.4437,0.0645049550374518,-0.0595430354191862,0.8808,0.5014,1.5471,0.8808 (0.5014;1.5471),1
K02001,1,26,26,Control,0,11.3126,-8.7693,0.0426330088276223,-0.0393535466101128,0.9197,0.5247,1.6121,0.9197 (0.5247;1.6121),1
K02002,0.900463086624313,26,25,Case,0.13,9.0949,-7.0915,0.0534725753682985,-0.0493593003399677,0.9003,0.5133,1.5789,0.9003 (0.5133;1.5789),0.989676920858447
K02003,0.0239774387198149,21,30,Control,-2.24,-0.514,1.6725,-0.362851081894209,0.334939460210038,2.3679,1.1342,4.9435,2.3679 (1.1342;4.9435),0.242798568658306
K02004,0.543993635325268,24,27,Control,-0.61,-3.2892,3.6976,-0.125603676180994,0.115941854936302,1.2826,0.7257,2.2668,1.2826 (0.7257;2.2668),0.859984312384812
K02006,0.0049536065503987,20,31,Control,-2.77,-0.3324,1.7311,-0.430061241587593,0.396979607619316,2.7352,1.3305,5.6227,2.7352 (1.3305;5.6227),0.239162502097615
K02007,0.00205411469708869,19,32,Control,-3.02,-0.7673,1.8141,-0.270640008406131,0.249821546221044,2.0183,0.891,4.5718,2.0183 (0.891;4.5718),0.14430155747048
K02008,0.00563073383373872,20,31,Control,-2.73,-0.2604,1.6795,-0.454774255920795,0.419791620849965,2.9997,1.4078,6.3919,2.9997 (1.4078;6.3919),0.239162502097615
K02009,0.506228271280028,24,27,Control,-0.67,3.0157,-0.9352,0.0974437562622959,-0.0899480827036577,0.8062,0.4077,1.594,0.8062 (0.4077;1.594),0.825835380143326
K02010,0.275238691174981,23,28,Control,-1.1,-1.4093,2.8352,-0.199062508113553,0.183750007489434,1.5054,0.8276,2.7386,1.5054 (0.8276;2.7386),0.636560265186582
K02011,0.0252661277925963,21,30,Control,-2.22,-0.4569,1.8795,-0.340931586010189,0.314706079394021,2.2059,1.0917,4.4575,2.2059 (1.0917;4.4575),0.251319713618392
K02012,0.0691680989243748,22,29,Control,-1.82,-0.855,2.111,-0.279501420016008,0.258001310784008,1.801,0.9673,3.3534,1.801 (0.9673;3.3534),0.350202446806294
K02013,0.292712954819136,23,28,Control,-1.06,-2.1562,3.2545,-0.148182403043688,0.136783756655711,1.3548,0.7472,2.4567,1.3548 (0.7472;2.4567),0.650216128886776
K02015,0.481825693345,24,27,Control,-0.71,-3.0498,4.2451,-0.116407832407091,0.107453383760392,1.2619,0.7101,2.2424,1.2619 (0.7101;2.2424),0.809524782241824
K02016,0.583084454923716,24,27,Control,-0.55,-3.492,3.9383,-0.116725778276044,0.107746872254809,1.2599,0.714,2.2229,1.2599 (0.714;2.2229),0.885658009911158
K02017,0.915715300438421,25,26,Control,-0.11,2.3259,-0.3437,0.16930806763106,-0.156284370120979,0.5777,0.1737,1.9215,0.5777 (0.1737;1.9215),0.989676920858447
K02018,0.0633067318046942,22,29,Control,-1.85,-0.4074,1.921,-0.313101452237609,0.289016725142408,2.2324,0.9934,5.0168,2.2324 (0.9934;5.0168),0.338841745468935
K02020,0.191707850908558,23,28,Control,-1.31,-1.4725,2.7078,-0.18046488248757,0.166582968450065,1.4584,0.7902,2.6914,1.4584 (0.7902;2.6914),0.537355671873365
K02023,0.506228271280028,24,27,Control,-0.67,-3.8962,5.3328,-0.0914853300884462,0.0844479970047198,1.1994,0.678,2.1219,1.1994 (0.678;2.1219),0.825835380143326
K02025,0.0123791676830221,20,30,Control,-2.48,-0.4847,1.7835,-0.377480175260668,0.348443238702155,2.3787,1.179,4.7993,2.3787 (1.179;4.7993),0.241203117614782
K02026,0.0146886468913997,20,30,Control,-2.42,-0.497,1.8025,-0.372998478528339,0.344306287872313,2.3318,1.168,4.655,2.3318 (1.168;4.655),0.241203117614782
K02027,0.0193665498422524,20,30,Control,-2.32,-0.5979,1.9015,-0.34275688214007,0.316390968129296,2.1325,1.0964,4.1478,2.1325 (1.0964;4.1478),0.242798568658306
K02028,0.205344088515694,23,28,Control,-1.27,-1.056,2.657,-0.232711074624763,0.21481022273055,1.609,0.8876,2.9167,1.609 (0.8876;2.9167),0.546935439553649
K02029,0.0894115491761765,22,29,Control,-1.7,-0.7461,2.3122,-0.280642624367415,0.259054730185307,1.8016,0.9714,3.3412,1.8016 (0.9714;3.3412),0.394112083427539
K02030,0.149134967528481,22,28,Control,-1.45,-1.1897,1.8291,-0.269321024108639,0.248604022254128,1.7581,0.9447,3.2718,1.7581 (0.9447;3.2718),0.499793872476267
K02031,0.0932001127011588,22,29,Control,-1.68,-0.9705,2.3523,-0.262717045393917,0.242508041902077,1.733,0.9376,3.2034,1.733 (0.9376;3.2034),0.40446689836333
K02032,0.16642009212642,22,28,Control,-1.39,-1.3289,2.7682,-0.208094032242074,0.192086798992684,1.543,0.8388,2.8386,1.543 (0.8388;2.8386),0.512482694657797
K02033,0.0857457078270006,22,29,Control,-1.72,-0.9325,2.342,-0.264919611350929,0.24454117970855,1.7527,0.9389,3.2719,1.7527 (0.9389;3.2719),0.387060946174894
K02034,0.0971139305825565,22,29,Control,-1.66,-0.8566,2.2688,-0.2842426376697,0.262377819387415,1.8171,0.9789,3.373,1.8171 (0.9789;3.373),0.416626175476311
K02035,0.143682973365797,22,28,Control,-1.47,-1.812,3.1245,-0.172076826284292,0.158840147339346,1.4262,0.7824,2.5996,1.4262 (0.7824;2.5996),0.492377018485231
