ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00165,12,12,12,11; 1; 0,0.0365200904301592,2.44197573031712,-2.50990714592716,-0.659655843661248,0.413016636148522,-0.412106855985254
M00166,3,3,3,3; 0; 0,0.589308025013926,1.66055312281784,-1.69455404789114,0.017505898497215,0.565153139750497,-0.623244733224718
M00167,9,9,9,8; 1; 0,-0.298067378796033,1.8610298980437,-1.9198398969777,-0.844508633591244,0.124181846080009,-0.152021139989027
M00168,2,2,2,2; 0; 0,1.55455387056532,-0.0833501405692378,0.05556637068544,0.770784045710174,-0.751244120888982,0.705613683749684
M00169,2,2,2,2; 0; 0,1.21525565050851,-0.0552814342246881,0.0276406070543237,0.549513483768821,-0.727852598022275,0.682721531762911
M00170,6,6,6,5; 1; 0,1.68072651238493,-0.0526223257221762,0.00453334657966236,0.669466217413002,-1.17228579862935,1.18524194923318
M00171,7,7,7,6; 1; 0,2.13832907061136,0.215823631310151,-0.267826080658711,0.963180304524904,-1.03467602664762,1.01526035582006
M00172,4,4,4,3; 1; 0,2.26629674509187,1.71938023149654,-1.75895314404521,1.15005903357309,0.544527084212235,-0.479753416577843
M00173,32,32,32,28; 3; 1,2.36527433955927,1.16623550596881,-1.27687000383963,0.563347552397907,-1.61416345451607,1.57741929313047
M00174,10,10,10,9; 1; 0,0.348565121500789,1.33587494749912,-1.3982762760715,-0.38533100421013,-0.315606720699298,0.331738296441896
M00175,4,4,4,3; 1; 0,2.44929119987957,3.21316715450009,-3.25264285899758,1.27536075827911,1.81550264011692,-1.73608354094441
M00176,8,8,8,8; 0; 0,1.29769545730679,2.0477785980871,-2.1033791178794,0.348034492542268,0.394430433693664,-0.398628337353377
M00177,4,4,4,4; 0; 0,1.09150147913654,2.22321680148644,-2.26477743036142,0.345641909723931,0.973212029010416,-0.905198060250392
M00178,55,55,55,52; 3; 0,-4.58212278653569,3.19954985009561,-3.34338825102143,-4.75902867024957,-0.819725148551828,0.781382698948382
M00179,34,34,34,34; 0; 0,-5.23026870552529,1.61437565583804,-1.72725130715846,-4.67907549287855,-1.36785028303927,1.36196860158378
M00183,5,5,5,5; 0; 0,-0.808234252090251,1.17270243060546,-1.21595514956352,-1.11514794350119,-0.00740260816557979,-0.0035012781536473
M00185,4,4,4,4; 0; 0,0.834034186683973,1.93030447394746,-1.96913759118097,0.169346426687993,0.723990133576606,-0.656537824990538
M00186,3,3,3,3; 0; 0,2.36854755269356,2.97713274754832,-3.01099956729259,1.33508704669286,1.64049910610492,-1.73821271322806
M00187,1,1,1,1; 0; 0,-1.53050084493815,-0.0987170374879622,0.0789736299903703,-1.23770741214029,-0.551762423395017,0.512039723476544
M00188,3,3,3,3; 0; 0,1.68511272673932,2.4088810500761,-2.44282683309312,0.828982709031235,1.17636677466625,-1.25699689654057
M00189,4,4,4,3; 0; 1,1.73390237119996,0.280957862775091,-0.320611056885296,0.785512832706894,-0.679342024265113,0.730024273630666
M00190,3,3,3,2; 1; 0,2.32931448187944,2.97087547598165,-3.00521946471089,1.30603376090063,1.63538833907403,-1.73331723581958
M00191,3,3,3,3; 0; 0,-0.139036343317832,-1.24654859498595,1.21290151516439,-0.521855325317266,-1.80928745411959,1.83923457815874
M00192,3,3,3,3; 0; 0,-2.49261009183922,-0.344215648000733,0.310596812260919,-2.26474848483699,-1.07228676185392,1.07502456177977
M00193,4,4,4,4; 0; 0,-1.00822080182509,-0.994586026802774,0.955916039564975,-1.09210014379009,-1.76462740143078,1.80370070708713
M00194,12,12,12,10; 2; 0,1.93250621385349,2.69073832014158,-2.75865997110323,0.656951662436914,0.61928991385834,-0.612600401234465
M00197,12,12,12,10; 2; 0,1.93250621385349,2.69073832014158,-2.75865997110323,0.656951662436914,0.61928991385834,-0.612600401234465
M00198,4,4,4,3; 0; 1,0.773230018800219,-2.00895410137589,1.96987961342535,0.127712011514114,-2.62769361764874,2.6565371229098
M00199,3,3,3,1; 2; 0,2.99245645965555,3.53124885718386,-3.56596202305644,1.79711062542738,2.09308587882712,-2.20824003996624
M00200,2,2,2,2; 0; 0,3.68733318963411,4.08755570217967,-4.11660851368166,2.16165865256261,2.72464957360206,-2.71452776090208
M00202,4,4,4,4; 0; 0,0.419418802634124,1.24186518261303,-1.28229620011772,-0.114553010436294,0.1382375757412,-0.0788411845057959
M00205,3,3,3,1; 2; 0,3.22555869897324,3.82672447263294,-3.86204329413662,1.96972994472033,2.33442222131708,-2.4590070727586
M00206,1,1,1,1; 0; 0,4.23139949739687,4.38474658199443,-4.40419113446447,2.66532397472885,3.19158698135,-3.27939558295062
M00207,4,4,4,1; 3; 0,3.23746873366869,3.9721172522133,-4.01231934283811,1.81504926672538,2.46124870168066,-2.37504117844288
M00208,3,3,3,3; 0; 0,-10.2209788871025,-0.0944330076240145,0.0611037256667022,-7.98784134138006,-0.868271182583923,0.863715549226612
M00209,3,3,3,3; 0; 0,0.367227749686999,0.966424937935366,-1.00003538790982,-0.146951320221648,-0.00179163876913331,-0.0350198078619949
M00210,3,3,3,3; 0; 0,2.69833142414991,-3.29685981174876,3.26239961064948,1.57930206397978,-3.48392517089912,3.57506391394675
M00211,2,2,2,2; 0; 0,-0.54789887952894,-0.68086673348922,0.653596095944665,-0.600313336971664,-1.24919450288934,1.1958487062931
M00212,3,3,3,3; 0; 0,1.9285765241368,2.61346472258506,-2.64753055739203,1.00927507817469,1.34346508219134,-1.43037140738587
M00213,3,3,3,3; 0; 0,-1.15118360012415,0.651682245323915,-0.685209766917306,-1.2713812458127,-0.258864799086754,0.231622815412626
M00214,3,3,3,3; 0; 0,1.93741520420208,2.61214600431925,-2.64619137147755,1.01582039039813,1.34238798944187,-1.42923717935143
M00215,3,3,3,3; 0; 0,-0.260638822011012,0.562107340432826,-0.59555290917847,-0.611905670426756,-0.332027113656928,0.307557993962186
M00216,3,3,3,2; 1; 0,1.62462701316041,2.39116604492062,-2.42517551516583,0.784191192932974,1.16189764649499,-1.24204705319062
M00217,3,3,3,3; 0; 0,-0.308595668301652,1.01805559347355,-1.05150724413426,-0.647419178089138,0.0403788582751188,-0.0786140703785955
M00219,4,4,4,4; 0; 0,0.929279331996247,-2.03728025207341,1.99842088723488,0.234563599478003,-2.65179467555399,2.68054295338167
M00220,4,4,4,4; 0; 0,0.190457660782161,1.13056613796757,-1.16941820646616,-0.271329487614215,0.0435397557499198,0.0160995668316004
M00221,3,3,3,2; 1; 0,2.22199508275718,2.87872619513493,-2.91300124625233,1.22656047193679,1.5601233451461,-1.65521270415541
M00222,4,4,4,4; 0; 0,1.52042467073168,1.24798690644907,-1.28702781754763,0.6393383265669,0.143446190996687,-0.0828209089791383
M00223,3,3,3,1; 2; 0,3.21722797761183,3.72556334798238,-3.76040606092808,1.96356079141303,2.25179660164207,-2.37292507473169
M00224,2,2,2,2; 0; 0,0.781935620453283,-1.52964916463764,1.50214306732017,0.266927366651232,-1.95654144661203,1.89144530638033
M00225,4,4,4,4; 0; 0,-5.33602268525512,0.199065516620184,-0.237964724461893,-4.05547431165138,-0.749019411699523,0.799537423552332
M00226,4,4,4,4; 0; 0,-5.47964879012693,-0.0864107470032077,0.0476034506453088,-4.15381936081762,-0.991914397101313,1.0397264650622
M00227,3,3,3,3; 0; 0,-2.02368124374163,-0.539462298450102,0.506080365580098,-1.91749236755398,-1.23175884699113,1.2405900176653
M00228,3,3,3,0; 3; 0,3.21869707961636,3.72431341427718,-3.75914018265366,1.9646487062642,2.25077569022672,-2.37185293485064
M00229,5,5,5,5; 0; 0,-2.88430868816532,0.212779853490921,-0.25621467834876,-2.64867621720709,-0.79162155182242,0.795740363024166
M00230,4,4,4,4; 0; 0,-1.81251006288126,-0.568388463915486,0.529844159800702,-1.64282082923262,-1.4020009276853,1.44533515610627
M00232,4,4,4,4; 0; 0,-0.460532674535053,-1.16758031881485,1.12888413852425,-0.717081856869496,-1.91181808376471,1.94918275138431
M00233,4,4,4,0; 3; 1,5.63023809043902,6.07359350697361,-6.11253906313977,3.4534493350491,4.24927141762736,-4.14151869783038
M00234,3,3,3,2; 1; 0,0.664604888093914,1.21904498869748,-1.253140030152,0.0732655226338504,0.204541459134382,-0.249387639672112
M00236,3,3,3,3; 0; 0,1.85169010682493,2.54471508839768,-2.57873207805618,0.95233834063799,1.28731227500592,-1.37210230289056
